study_id	organism	endpoint_1	endpoint_2
ERP014707	Homo_sapiens	ERP014707.Homo_sapiens.Progenitor.NPC.WT	ERP014707.Homo_sapiens.Differentiated.neuron.WT
ERP014707	Homo_sapiens	ERP014707.Homo_sapiens.Progenitor.NPC.Parkinson	ERP014707.Homo_sapiens.Differentiated.neuron.Parkinson
SRP011318	Mus_musculus	SRP011318.Mus_musculus.Pluripotent.iPSC_MEF	SRP011318.Mus_musculus.Differentiated.MEF
SRP011318	Mus_musculus	SRP011318.Mus_musculus.Pluripotent.iPSC_APC2	SRP011318.Mus_musculus.Differentiated.APC2
SRP011318	Mus_musculus	SRP011318.Mus_musculus.Pluripotent.iPSC_HPC	SRP011318.Mus_musculus.Differentiated.HPC
SRP011318	Mus_musculus	SRP011318.Mus_musculus.Pluripotent.iPSC_APC3	SRP011318.Mus_musculus.Differentiated.APC3
SRP016568	Homo_sapiens	SRP016568.Homo_sapiens.Pluripotent.iPSC	SRP016568.Homo_sapiens.Differentiated.foreskin_fibroblast
SRP017684	Homo_sapiens	SRP017684.Homo_sapiens.Pluripotent.iPSC	SRP017684.Homo_sapiens.Differentiated.neuron
SRP017684	Homo_sapiens	SRP017684.Homo_sapiens.Pluripotent.iPSC	SRP017684.Homo_sapiens.Progenitor.NPC
SRP017684	Homo_sapiens	SRP017684.Homo_sapiens.Progenitor.NPC	SRP017684.Homo_sapiens.Differentiated.neuron
SRP026281	Mus_musculus	SRP026281.Mus_musculus.Progenitor.CiPS	SRP026281.Mus_musculus.Differentiated.MEF
SRP033561	Mus_musculus	SRP033561.Mus_musculus.Pluripotent.iPSC_fast_bulk	SRP033561.Mus_musculus.Differentiated.MEF_slow_bulk
SRP033569	Homo_sapiens	SRP033569.Homo_sapiens.Pluripotent.iPSC_Retro	SRP033569.Homo_sapiens.Differentiated.fibroblast
SRP033569	Homo_sapiens	SRP033569.Homo_sapiens.Pluripotent.iPSC_Sendai	SRP033569.Homo_sapiens.Differentiated.fibroblast
SRP033700	Mus_musculus	SRP033700.Mus_musculus.Pluripotent.iPSC.c57_b6_WT	SRP033700.Mus_musculus.Differentiated.MEF.c57_b6_WT
SRP039361	Homo_sapiens	SRP039361.Homo_sapiens.Pluripotent.iPSC	SRP039361.Homo_sapiens.Differentiated.macrophage_iPSC
SRP045688	Mus_musculus	SRP045688.Mus_musculus.Pluripotent.iPSC	SRP045688.Mus_musculus.Differentiated.MEF
SRP045999	Pan_troglodytes	SRP045999.Pan_troglodytes.Pluripotent.iPSC	SRP045999.Pan_troglodytes.Differentiated.dermal_fibroblast
SRP045999	Homo_sapiens	SRP045999.Homo_sapiens.Pluripotent.iPSC_LCL	SRP045999.Homo_sapiens.Differentiated.LCL
SRP045999	Homo_sapiens	SRP045999.Homo_sapiens.Pluripotent.iPSC_fibro	SRP045999.Homo_sapiens.Differentiated.dermal_fibroblast
SRP047225	Mus_musculus	SRP047225.Mus_musculus.Progenitor.iCPC_low	SRP047225.Mus_musculus.Differentiated.cardiac_fibroblast
SRP047225	Mus_musculus	SRP047225.Mus_musculus.Progenitor.iCPC_high	SRP047225.Mus_musculus.Differentiated.cardiac_fibroblast
SRP049340	Homo_sapiens	SRP049340.Homo_sapiens.Pluripotent.iPSC_hiF	SRP049340.Homo_sapiens.Differentiated.hiF
SRP049340	Homo_sapiens	SRP049340.Homo_sapiens.Pluripotent.iPSC_hiF-T	SRP049340.Homo_sapiens.Differentiated.hiF-T
SRP049593	Homo_sapiens	SRP049593.Homo_sapiens.Pluripotent.iPSC_fibro_single_cell_stranded.7dupASD	SRP049593.Homo_sapiens.Progenitor.MSC_iPSC_single_cell_stranded.7dupASD
SRP049593	Homo_sapiens	SRP049593.Homo_sapiens.Pluripotent.iPSC_fibro_single_cell_stranded.Control	SRP049593.Homo_sapiens.Progenitor.MSC_iPSC_single_cell_stranded.Control
SRP049593	Homo_sapiens	SRP049593.Homo_sapiens.Pluripotent.iPSC_fibro_single_cell_stranded.WBS	SRP049593.Homo_sapiens.Progenitor.MSC_iPSC_single_cell_stranded.WBS
SRP049593	Homo_sapiens	SRP049593.Homo_sapiens.Pluripotent.iPSC_fibro_single_cell_stranded.AtWBS	SRP049593.Homo_sapiens.Progenitor.MSC_iPSC_single_cell_stranded.AtWBS
SRP051710	Mus_musculus	SRP051710.Mus_musculus.Progenitor.induced_tropho_SC.C57B6x129	SRP051710.Mus_musculus.Differentiated.MEF.C57B6x129
SRP052014	Mus_musculus	SRP052014.Mus_musculus.Pluripotent.iPSC_SSC	SRP052014.Mus_musculus.Differentiated.SSC
SRP056571	Mus_musculus	SRP056571.Mus_musculus.Progenitor.trans_neural_stem_cell	SRP056571.Mus_musculus.Differentiated.MEF
SRP056571	Mus_musculus	SRP056571.Mus_musculus.Pluripotent.iPSC	SRP056571.Mus_musculus.Differentiated.MEF
SRP056822	Homo_sapiens	SRP056822.Homo_sapiens.Pluripotent.iPSC.Control	SRP056822.Homo_sapiens.Differentiated.iPSC_derived_neuron.Control
SRP056822	Homo_sapiens	SRP056822.Homo_sapiens.Pluripotent.iPSC.Control	SRP056822.Homo_sapiens.Progenitor.iPSC_derived_NPC.Control
SRP056822	Homo_sapiens	SRP056822.Homo_sapiens.Progenitor.iPSC_derived_NPC.Control	SRP056822.Homo_sapiens.Differentiated.iPSC_derived_neuron.Control
SRP056822	Homo_sapiens	SRP056822.Homo_sapiens.Pluripotent.iPSC.ASD	SRP056822.Homo_sapiens.Differentiated.iPSC_derived_neuron.ASD
SRP056822	Homo_sapiens	SRP056822.Homo_sapiens.Pluripotent.iPSC.ASD	SRP056822.Homo_sapiens.Progenitor.iPSC_derived_NPC.ASD
SRP056822	Homo_sapiens	SRP056822.Homo_sapiens.Progenitor.iPSC_derived_NPC.ASD	SRP056822.Homo_sapiens.Differentiated.iPSC_derived_neuron.ASD
SRP058020	Mus_musculus	SRP058020.Mus_musculus.Pluripotent.iPSC_NPC	SRP058020.Mus_musculus.Progenitor.NPC
SRP059205	Homo_sapiens	SRP059205.Homo_sapiens.Pluripotent.iPSC_PBMC	SRP059205.Homo_sapiens.Progenitor.myeloid_progenitors_PBMC_iPSC
SRP059205	Homo_sapiens	SRP059205.Homo_sapiens.Pluripotent.iPSC_PBMC	SRP059205.Homo_sapiens.Progenitor.promyelocytes_PBMC_iPSC
SRP059205	Homo_sapiens	SRP059205.Homo_sapiens.Pluripotent.iPSC_PBMC	SRP059205.Homo_sapiens.Progenitor.MSC_PBMC
SRP059205	Homo_sapiens	SRP059205.Homo_sapiens.Pluripotent.iPSC_fibro	SRP059205.Homo_sapiens.Progenitor.MSC_fibro
SRP059205	Homo_sapiens	SRP059205.Homo_sapiens.Pluripotent.iPSC_cord_blood	SRP059205.Homo_sapiens.Progenitor.MSC_cord_blood
SRP059670	Mus_musculus	SRP059670.Mus_musculus.Pluripotent.iPSC	SRP059670.Mus_musculus.Differentiated.MEF
SRP060709	Mus_musculus	SRP060709.Mus_musculus.Pluripotent.iPSC.WT	SRP060709.Mus_musculus.Differentiated.MEF.WT
SRP060709	Mus_musculus	SRP060709.Mus_musculus.Pluripotent.iPSC_2i.MKOS	SRP060709.Mus_musculus.Differentiated.MEF.MKOS
SRP060709	Mus_musculus	SRP060709.Mus_musculus.Pluripotent.iPSC_2i.OKMS	SRP060709.Mus_musculus.Differentiated.MEF.OKMS
SRP061880	Homo_sapiens	SRP061880.Homo_sapiens.Progenitor.iPSC_derived_NPC.WT	SRP061880.Homo_sapiens.Differentiated.iPSC_derived_neuron.WT
SRP061880	Homo_sapiens	SRP061880.Homo_sapiens.Progenitor.iPSC_derived_NPC.CHD8_hetero	SRP061880.Homo_sapiens.Differentiated.iPSC_derived_neuron.CHD8_hetero
SRP063867	Homo_sapiens	SRP063867.Homo_sapiens.Pluripotent.iPSC_isogenic	SRP063867.Homo_sapiens.Differentiated.fibroblast_isogenic
SRP064357	Mus_musculus	SRP064357.Mus_musculus.Progenitor.ciPSC	SRP064357.Mus_musculus.Differentiated.MEF
SRP065036	Homo_sapiens	SRP065036.Homo_sapiens.Pluripotent.iPSC.Control	SRP065036.Homo_sapiens.Progenitor.NSC.Control
SRP065036	Homo_sapiens	SRP065036.Homo_sapiens.Pluripotent.iPSC.Huntington	SRP065036.Homo_sapiens.Progenitor.NSC.Huntington
SRP069058	Mus_musculus	SRP069058.Mus_musculus.Progenitor.ieCPC_passage_12	SRP069058.Mus_musculus.Differentiated.fibroblasts
SRP069058	Mus_musculus	SRP069058.Mus_musculus.Progenitor.ieCPC_passage_3	SRP069058.Mus_musculus.Differentiated.fibroblasts
SRP069058	Mus_musculus	SRP069058.Mus_musculus.Progenitor.ieCPC_passage_3	SRP069058.Mus_musculus.Differentiated.cardiac_derivatives
SRP069058	Mus_musculus	SRP069058.Mus_musculus.Progenitor.ieCPC_passage_12	SRP069058.Mus_musculus.Differentiated.cardiac_derivatives
SRP069250	Mus_musculus	SRP069250.Mus_musculus.Progenitor.iXEN_in_ES_cell_medium	SRP069250.Mus_musculus.Differentiated.mouse_embryonic_fibroblasts
SRP069250	Mus_musculus	SRP069250.Mus_musculus.Progenitor.iXEN_in_XEN_cell_medium	SRP069250.Mus_musculus.Differentiated.mouse_embryonic_fibroblasts
SRP071205	Mus_musculus	SRP071205.Mus_musculus.Progenitor.ciNSLC	SRP071205.Mus_musculus.Differentiated.MEF
SRP076951	Homo_sapiens	SRP076951.Homo_sapiens.Progenitor.NPC.ADRC-40_iPSC	SRP076951.Homo_sapiens.Differentiated.neurons.ADRC-40_iPSC
SRP076951	Homo_sapiens	SRP076951.Homo_sapiens.Progenitor.NPC.WT-33_iPSC	SRP076951.Homo_sapiens.Differentiated.neurons.WT-33_iPSC
SRP076951	Pan_troglodytes	SRP076951.Pan_troglodytes.Progenitor.NPC.PR00818_iPSC	SRP076951.Pan_troglodytes.Differentiated.neurons.PR00818_iPSC
SRP076951	Pan_troglodytes	SRP076951.Pan_troglodytes.Progenitor.NPC.PR01209_iPSC	SRP076951.Pan_troglodytes.Differentiated.neurons.PR01209_iPSC
